mode,epoch,train_bpc,val_bpc
baseline,1,12.38366,3.61055
baseline,2,3.56575,3.58208
baseline,3,3.55619,3.57711
baseline,4,3.55137,3.57427
baseline,5,3.54861,3.57067
baseline,6,3.54620,3.56515
baseline,7,3.54397,3.56811
baseline,8,3.34709,3.07283
baseline,9,2.93371,2.88460
baseline,10,2.77400,2.77802
baseline,11,2.67836,2.70515
baseline,12,2.61939,2.66759
baseline,13,2.57971,2.63219
baseline,14,2.55165,2.60950
baseline,15,2.53110,2.59719
baseline,16,2.51608,2.58560
baseline,17,2.50565,2.57897
baseline,18,2.49864,2.57393
baseline,19,2.49464,2.57209
baseline,20,2.49288,2.57168
